step 0: train loss 10.8545, val loss 10.8549
iter 1760: loss 4.8048, time 1309.30ms, mfu 92.52%
iter 1770: loss 4.7685, time 1309.87ms, mfu 92.51%
iter 1780: loss 4.7185, time 1305.48ms, mfu 92.54%
iter 1790: loss 4.7562, time 1305.21ms, mfu 92.57%
iter 1800: loss 4.7825, time 1306.74ms, mfu 92.59%
iter 1810: loss 4.7606, time 1311.45ms, mfu 92.57%
iter 1820: loss 4.7466, time 1312.56ms, mfu 92.54%
iter 1830: loss 4.7296, time 1310.24ms, mfu 92.53%
iter 1840: loss 4.7414, time 1312.36ms, mfu 92.51%
iter 1850: loss 4.8051, time 1308.80ms, mfu 92.52%
iter 1860: loss 4.7431, time 1311.23ms, mfu 92.51%
iter 1870: loss 4.6776, time 1314.28ms, mfu 92.48%
iter 1880: loss 4.7630, time 1313.57ms, mfu 92.45%
iter 1890: loss 4.6874, time 1311.59ms, mfu 92.44%
iter 1900: loss 4.7551, time 1304.22ms, mfu 92.49%
iter 1910: loss 4.7035, time 1309.53ms, mfu 92.49%
iter 1920: loss 4.6740, time 1311.10ms, mfu 92.49%
iter 1930: loss 4.6973, time 1305.64ms, mfu 92.52%
iter 1940: loss 4.6615, time 1305.02ms, mfu 92.55%
iter 1950: loss 4.6049, time 1306.67ms, mfu 92.57%
iter 1960: loss 4.6007, time 1306.53ms, mfu 92.58%
iter 1970: loss 4.6175, time 1306.25ms, mfu 92.60%
iter 1980: loss 4.6434, time 1313.46ms, mfu 92.57%
iter 1990: loss 4.7150, time 1309.29ms, mfu 92.56%
step 2000: train loss 4.6054, val loss 4.6158
saving checkpoint to out
iter 2000: loss 4.6402, time 37831.06ms, mfu 83.63%
iter 2010: loss 4.6387, time 1435.27ms, mfu 83.71%
iter 2020: loss 4.6574, time 1306.54ms, mfu 84.61%
iter 2030: loss 4.5427, time 1307.62ms, mfu 85.41%
iter 2040: loss 4.5521, time 1304.09ms, mfu 86.16%
iter 2050: loss 4.6252, time 1307.73ms, mfu 86.81%
iter 2060: loss 4.5446, time 1309.71ms, mfu 87.38%
iter 2070: loss 4.4813, time 1306.28ms, mfu 87.92%
iter 2080: loss 4.5770, time 1302.87ms, mfu 88.43%
iter 2090: loss 4.5304, time 1308.02ms, mfu 88.85%
iter 2100: loss 4.4463, time 1311.65ms, mfu 89.20%
iter 2110: loss 4.5037, time 1309.07ms, mfu 89.54%
iter 2120: loss 4.4356, time 1315.35ms, mfu 89.79%
iter 2130: loss 4.5075, time 1313.30ms, mfu 90.04%
iter 2140: loss 4.4695, time 1307.98ms, mfu 90.30%
iter 2150: loss 4.4632, time 1305.76ms, mfu 90.55%
iter 2160: loss 4.4511, time 1301.47ms, mfu 90.80%
iter 2170: loss 4.4132, time 1312.91ms, mfu 90.95%
iter 2180: loss 4.4511, time 1311.11ms, mfu 91.10%
iter 2190: loss 4.4358, time 1304.24ms, mfu 91.28%
iter 2200: loss 4.3633, time 1302.77ms, mfu 91.45%
iter 2210: loss 4.4227, time 1309.13ms, mfu 91.56%
iter 2220: loss 4.3262, time 1303.06ms, mfu 91.70%
iter 2230: loss 4.4232, time 1312.33ms, mfu 91.76%
iter 2240: loss 4.3099, time 1305.76ms, mfu 91.87%
iter 2250: loss 4.3255, time 1304.94ms, mfu 91.97%
iter 2260: loss 4.2647, time 1305.26ms, mfu 92.05%
iter 2270: loss 4.3329, time 1305.37ms, mfu 92.13%
iter 2280: loss 4.3313, time 1317.16ms, mfu 92.11%
iter 2290: loss 4.3367, time 1302.66ms, mfu 92.20%
iter 2300: loss 4.3249, time 1303.82ms, mfu 92.28%
iter 2310: loss 4.2953, time 1305.46ms, mfu 92.33%
iter 2320: loss 4.3073, time 1305.08ms, mfu 92.38%
iter 2330: loss 4.3060, time 1304.15ms, mfu 92.43%
iter 2340: loss 4.3582, time 1307.94ms, mfu 92.45%
iter 2350: loss 4.2987, time 1314.02ms, mfu 92.43%
iter 2360: loss 4.3774, time 1311.74ms, mfu 92.42%
iter 2370: loss 4.2471, time 1304.27ms, mfu 92.47%
iter 2380: loss 4.2984, time 1308.61ms, mfu 92.48%
iter 2390: loss 4.3185, time 1304.67ms, mfu 92.52%
iter 2400: loss 4.2756, time 1307.20ms, mfu 92.54%
iter 2410: loss 4.3501, time 1306.67ms, mfu 92.56%
iter 2420: loss 4.2008, time 1309.18ms, mfu 92.56%
