step 0: train loss 10.9478, val loss 10.9479
iter 1430: loss 4.4859, time 1305.14ms, mfu 92.07%
iter 1440: loss 4.5791, time 1309.65ms, mfu 92.06%
iter 1450: loss 4.5446, time 1308.70ms, mfu 92.06%
iter 1460: loss 4.5712, time 1301.67ms, mfu 92.11%
iter 1470: loss 4.4859, time 1300.97ms, mfu 92.16%
iter 1480: loss 4.5849, time 1302.73ms, mfu 92.19%
iter 1490: loss 4.5121, time 1310.95ms, mfu 92.16%
iter 1500: loss 4.4742, time 1302.89ms, mfu 92.19%
iter 1510: loss 4.4903, time 1303.64ms, mfu 92.21%
iter 1520: loss 4.5090, time 1303.62ms, mfu 92.23%
iter 1530: loss 4.4966, time 1303.55ms, mfu 92.24%
iter 1540: loss 4.4666, time 1304.00ms, mfu 92.26%
iter 1550: loss 4.4411, time 1306.15ms, mfu 92.25%
iter 1560: loss 4.4045, time 1302.66ms, mfu 92.28%
iter 1570: loss 4.4817, time 1302.37ms, mfu 92.30%
iter 1580: loss 4.4766, time 1309.99ms, mfu 92.26%
iter 1590: loss 4.3898, time 1302.92ms, mfu 92.28%
iter 1600: loss 4.4406, time 1302.75ms, mfu 92.30%
iter 1610: loss 4.3521, time 1306.74ms, mfu 92.29%
iter 1620: loss 4.4285, time 1301.61ms, mfu 92.31%
iter 1630: loss 4.3738, time 1302.50ms, mfu 92.33%
iter 1640: loss 4.3928, time 1303.89ms, mfu 92.33%
iter 1650: loss 4.3757, time 1304.19ms, mfu 92.34%
iter 1660: loss 4.3010, time 1298.86ms, mfu 92.38%
iter 1670: loss 4.3284, time 1310.09ms, mfu 92.33%
iter 1680: loss 4.3632, time 1301.75ms, mfu 92.35%
iter 1690: loss 4.2729, time 1303.94ms, mfu 92.36%
iter 1700: loss 4.2881, time 1312.08ms, mfu 92.30%
iter 1710: loss 4.2691, time 1308.61ms, mfu 92.28%
iter 1720: loss 4.2982, time 1308.03ms, mfu 92.26%
iter 1730: loss 4.3905, time 1300.88ms, mfu 92.29%
iter 1740: loss 4.2858, time 1300.82ms, mfu 92.32%
iter 1750: loss 4.2729, time 1300.56ms, mfu 92.35%
iter 1760: loss 4.2210, time 1309.78ms, mfu 92.31%
iter 1770: loss 4.2491, time 1299.52ms, mfu 92.35%
iter 1780: loss 4.3053, time 1302.52ms, mfu 92.36%
iter 1790: loss 4.2589, time 1305.22ms, mfu 92.36%
iter 1800: loss 4.1661, time 1304.80ms, mfu 92.35%
iter 1810: loss 4.2337, time 1309.54ms, mfu 92.31%
iter 1820: loss 4.2580, time 1303.31ms, mfu 92.33%
iter 1830: loss 4.1675, time 1304.90ms, mfu 92.32%
iter 1840: loss 4.2204, time 1307.12ms, mfu 92.31%
iter 1850: loss 4.1241, time 1302.33ms, mfu 92.33%
iter 1860: loss 4.2090, time 1309.80ms, mfu 92.29%
iter 1870: loss 4.2113, time 1304.60ms, mfu 92.29%
iter 1880: loss 4.1913, time 1308.98ms, mfu 92.27%
iter 1890: loss 4.2076, time 1311.84ms, mfu 92.22%
iter 1900: loss 4.2448, time 1298.88ms, mfu 92.27%
iter 1910: loss 4.1498, time 1302.35ms, mfu 92.29%
iter 1920: loss 4.1347, time 1299.44ms, mfu 92.34%
iter 1930: loss 4.2209, time 1306.84ms, mfu 92.32%
iter 1940: loss 4.1831, time 1304.24ms, mfu 92.32%
iter 1950: loss 4.1270, time 1307.50ms, mfu 92.30%
iter 1960: loss 4.1944, time 1309.01ms, mfu 92.27%
iter 1970: loss 4.2331, time 1301.44ms, mfu 92.30%
iter 1980: loss 4.1185, time 1301.42ms, mfu 92.33%
iter 1990: loss 4.1703, time 1300.52ms, mfu 92.36%
step 2000: train loss 4.1368, val loss 4.1431
saving checkpoint to out
iter 2000: loss 4.1079, time 37689.31ms, mfu 83.44%
iter 2010: loss 4.1210, time 1299.91ms, mfu 84.36%
iter 2020: loss 4.1757, time 1299.04ms, mfu 85.20%
iter 2030: loss 4.1593, time 1311.37ms, mfu 85.86%
iter 2040: loss 4.1036, time 1311.33ms, mfu 86.46%
iter 2050: loss 4.0668, time 1310.11ms, mfu 87.01%
iter 2060: loss 4.0548, time 1303.13ms, mfu 87.55%
iter 2070: loss 4.0935, time 1305.23ms, mfu 88.03%
iter 2080: loss 4.0094, time 1304.63ms, mfu 88.46%
iter 2090: loss 4.1608, time 1301.65ms, mfu 88.87%
iter 2100: loss 4.0841, time 1309.26ms, mfu 89.18%
iter 2110: loss 4.0950, time 1304.44ms, mfu 89.50%
iter 2120: loss 4.1324, time 1309.08ms, mfu 89.75%
iter 2130: loss 4.0669, time 1309.27ms, mfu 89.97%
iter 2140: loss 4.0988, time 1305.85ms, mfu 90.20%
iter 2150: loss 4.0944, time 1305.18ms, mfu 90.41%
iter 2160: loss 4.0575, time 1303.62ms, mfu 90.61%
iter 2170: loss 4.0105, time 1300.07ms, mfu 90.81%
iter 2180: loss 4.0734, time 1303.06ms, mfu 90.98%
iter 2190: loss 4.0823, time 1302.99ms, mfu 91.12%
iter 2200: loss 3.9939, time 1311.07ms, mfu 91.20%
iter 2210: loss 4.0716, time 1310.11ms, mfu 91.27%
iter 2220: loss 3.9520, time 1310.69ms, mfu 91.33%
iter 2230: loss 4.0176, time 1302.27ms, mfu 91.45%
iter 2240: loss 4.0168, time 1308.77ms, mfu 91.51%
iter 2250: loss 4.0484, time 1299.55ms, mfu 91.63%
iter 2260: loss 4.0548, time 1306.22ms, mfu 91.69%
iter 2270: loss 4.0161, time 1302.55ms, mfu 91.77%
iter 2280: loss 4.0152, time 1311.95ms, mfu 91.77%
iter 2290: loss 3.9688, time 1313.06ms, mfu 91.77%
iter 2300: loss 4.0110, time 1313.40ms, mfu 91.76%
iter 2310: loss 3.9898, time 1303.67ms, mfu 91.82%
iter 2320: loss 3.9376, time 1308.38ms, mfu 91.85%
iter 2330: loss 3.9786, time 1298.70ms, mfu 91.94%
iter 2340: loss 4.0469, time 1302.39ms, mfu 91.99%
iter 2350: loss 3.9462, time 1311.48ms, mfu 91.98%
iter 2360: loss 4.0337, time 1302.75ms, mfu 92.03%
iter 2370: loss 4.0194, time 1310.57ms, mfu 92.02%
iter 2380: loss 3.9509, time 1302.38ms, mfu 92.06%
iter 2390: loss 3.9789, time 1307.64ms, mfu 92.07%
iter 2400: loss 3.9356, time 1308.59ms, mfu 92.07%
iter 2410: loss 3.9758, time 1312.94ms, mfu 92.03%
iter 2420: loss 4.0142, time 1308.34ms, mfu 92.04%
iter 2430: loss 4.0023, time 1303.84ms, mfu 92.07%
iter 2440: loss 3.9588, time 1314.15ms, mfu 92.03%
iter 2450: loss 3.9517, time 1307.28ms, mfu 92.04%
iter 2460: loss 3.9638, time 1304.27ms, mfu 92.07%
iter 2470: loss 3.9475, time 1307.53ms, mfu 92.08%
iter 2480: loss 3.9019, time 1300.70ms, mfu 92.13%
iter 2490: loss 3.9479, time 1309.90ms, mfu 92.11%
iter 2500: loss 3.8620, time 1299.06ms, mfu 92.17%
iter 2510: loss 3.9449, time 1300.44ms, mfu 92.22%
iter 2520: loss 3.9633, time 1310.25ms, mfu 92.19%
iter 2530: loss 3.9699, time 1305.75ms, mfu 92.20%
iter 2540: loss 3.9887, time 1305.98ms, mfu 92.20%
iter 2550: loss 3.9618, time 1309.98ms, mfu 92.18%
iter 2560: loss 3.9120, time 1301.51ms, mfu 92.21%
iter 2570: loss 3.9500, time 1306.35ms, mfu 92.21%
iter 2580: loss 3.8948, time 1309.62ms, mfu 92.19%
iter 2590: loss 3.9828, time 1303.16ms, mfu 92.21%
iter 2600: loss 3.9044, time 1305.56ms, mfu 92.22%
iter 2610: loss 3.8813, time 1307.50ms, mfu 92.21%
iter 2620: loss 3.9047, time 1309.90ms, mfu 92.18%
iter 2630: loss 3.8946, time 1308.69ms, mfu 92.17%
iter 2640: loss 3.9034, time 1306.54ms, mfu 92.17%
iter 2650: loss 3.9188, time 1310.52ms, mfu 92.15%
iter 2660: loss 3.8512, time 1308.30ms, mfu 92.14%
iter 2670: loss 3.8182, time 1301.82ms, mfu 92.18%
iter 2680: loss 4.0303, time 1307.70ms, mfu 92.17%
iter 2690: loss 3.8990, time 1300.97ms, mfu 92.21%
iter 2700: loss 3.8289, time 1305.18ms, mfu 92.22%
iter 2710: loss 3.9566, time 1311.07ms, mfu 92.19%
iter 2720: loss 3.8693, time 1310.16ms, mfu 92.16%
iter 2730: loss 3.9091, time 1303.17ms, mfu 92.19%
iter 2740: loss 3.7918, time 1300.07ms, mfu 92.23%
iter 2750: loss 3.8811, time 1310.03ms, mfu 92.21%
iter 2760: loss 3.8818, time 1302.47ms, mfu 92.23%
iter 2770: loss 3.8556, time 1301.39ms, mfu 92.27%
iter 2780: loss 3.8488, time 1302.00ms, mfu 92.29%
iter 2790: loss 3.8665, time 1310.88ms, mfu 92.25%
iter 2800: loss 3.8606, time 1303.80ms, mfu 92.26%
iter 2810: loss 3.8716, time 1302.18ms, mfu 92.29%
iter 2820: loss 3.8448, time 1313.10ms, mfu 92.23%
iter 2830: loss 3.8669, time 1304.08ms, mfu 92.25%
iter 2840: loss 3.9331, time 1303.89ms, mfu 92.26%
iter 2850: loss 3.9252, time 1309.01ms, mfu 92.24%
iter 2860: loss 3.8825, time 1310.24ms, mfu 92.21%
iter 2870: loss 3.8832, time 1304.78ms, mfu 92.22%
iter 2880: loss 3.8036, time 1306.32ms, mfu 92.22%
iter 2890: loss 3.9264, time 1304.38ms, mfu 92.23%
iter 2900: loss 3.7602, time 1306.96ms, mfu 92.22%
iter 2910: loss 3.8895, time 1304.68ms, mfu 92.23%
iter 2920: loss 3.8830, time 1307.98ms, mfu 92.22%
iter 2930: loss 3.8152, time 1305.03ms, mfu 92.23%
iter 2940: loss 3.8254, time 1307.56ms, mfu 92.22%
iter 2950: loss 3.8606, time 1304.02ms, mfu 92.23%
iter 2960: loss 3.8251, time 1304.72ms, mfu 92.24%
iter 2970: loss 3.7636, time 1302.23ms, mfu 92.27%
iter 2980: loss 3.8061, time 1305.70ms, mfu 92.27%
iter 2990: loss 3.9551, time 1301.11ms, mfu 92.30%
step 3000: train loss 3.8289, val loss 3.8399
saving checkpoint to out
iter 3000: loss 3.8525, time 37876.59ms, mfu 83.38%
iter 3010: loss 3.8223, time 1302.98ms, mfu 84.29%
iter 3020: loss 3.7897, time 1309.65ms, mfu 85.06%
iter 3030: loss 3.7906, time 1308.93ms, mfu 85.76%
iter 3040: loss 3.8335, time 1306.53ms, mfu 86.40%
iter 3050: loss 3.7864, time 1305.67ms, mfu 86.99%
iter 3060: loss 3.8629, time 1304.35ms, mfu 87.52%
iter 3070: loss 3.7851, time 1303.02ms, mfu 88.01%
iter 3080: loss 3.8670, time 1308.84ms, mfu 88.42%
iter 3090: loss 3.8437, time 1308.32ms, mfu 88.78%
iter 3100: loss 3.7892, time 1302.61ms, mfu 89.15%
iter 3110: loss 3.8243, time 1304.41ms, mfu 89.47%
iter 3120: loss 3.8110, time 1310.44ms, mfu 89.71%
iter 3130: loss 3.8508, time 1303.19ms, mfu 89.99%
iter 3140: loss 3.7775, time 1311.25ms, mfu 90.17%
iter 3150: loss 3.8540, time 1309.70ms, mfu 90.35%
iter 3160: loss 3.7785, time 1309.69ms, mfu 90.52%
iter 3170: loss 3.7982, time 1306.55ms, mfu 90.68%
iter 3180: loss 3.9004, time 1310.56ms, mfu 90.81%
iter 3190: loss 3.7654, time 1304.59ms, mfu 90.96%
iter 3200: loss 3.7212, time 1304.58ms, mfu 91.10%
iter 3210: loss 3.8158, time 1304.85ms, mfu 91.22%
iter 3220: loss 3.7058, time 1307.45ms, mfu 91.31%
iter 3230: loss 3.7868, time 1308.46ms, mfu 91.38%
iter 3240: loss 3.7598, time 1306.39ms, mfu 91.47%
iter 3250: loss 3.7581, time 1304.89ms, mfu 91.55%
iter 3260: loss 3.7555, time 1306.46ms, mfu 91.61%
iter 3270: loss 3.6879, time 1307.13ms, mfu 91.67%
iter 3280: loss 3.8186, time 1303.19ms, mfu 91.74%
iter 3290: loss 3.6972, time 1305.34ms, mfu 91.80%
iter 3300: loss 3.7447, time 1310.09ms, mfu 91.81%
iter 3310: loss 3.8401, time 1307.15ms, mfu 91.85%
iter 3320: loss 3.7409, time 1301.80ms, mfu 91.91%
iter 3330: loss 3.7216, time 1302.68ms, mfu 91.97%
iter 3340: loss 3.8272, time 1309.11ms, mfu 91.97%
iter 3350: loss 3.7286, time 1311.19ms, mfu 91.96%
iter 3360: loss 3.8204, time 1308.54ms, mfu 91.97%
iter 3370: loss 3.7670, time 1307.39ms, mfu 91.99%
iter 3380: loss 3.7885, time 1311.16ms, mfu 91.98%
iter 3390: loss 3.7316, time 1302.94ms, mfu 92.02%
iter 3400: loss 3.7225, time 1308.46ms, mfu 92.03%
iter 3410: loss 3.7843, time 1301.41ms, mfu 92.08%
iter 3420: loss 3.7536, time 1313.99ms, mfu 92.04%
iter 3430: loss 3.7136, time 1307.18ms, mfu 92.05%
iter 3440: loss 3.8028, time 1303.43ms, mfu 92.09%
iter 3450: loss 3.6926, time 1303.33ms, mfu 92.12%
iter 3460: loss 3.6760, time 1311.55ms, mfu 92.09%
iter 3470: loss 3.6842, time 1311.59ms, mfu 92.07%
iter 3480: loss 3.7637, time 1302.42ms, mfu 92.11%
iter 3490: loss 3.7553, time 1304.85ms, mfu 92.13%
iter 3500: loss 3.7432, time 1308.67ms, mfu 92.12%
iter 3510: loss 3.7174, time 1304.94ms, mfu 92.14%
iter 3520: loss 3.7370, time 1302.56ms, mfu 92.17%
iter 3530: loss 3.7638, time 1301.22ms, mfu 92.21%
iter 3540: loss 3.7490, time 1311.00ms, mfu 92.18%
iter 3550: loss 3.7454, time 1300.52ms, mfu 92.22%
iter 3560: loss 3.6977, time 1301.64ms, mfu 92.26%
iter 3570: loss 3.7954, time 1306.01ms, mfu 92.25%
iter 3580: loss 3.7678, time 1310.85ms, mfu 92.22%
iter 3590: loss 3.7217, time 1300.50ms, mfu 92.26%
iter 3600: loss 3.7258, time 1304.07ms, mfu 92.27%
iter 3610: loss 3.8455, time 1304.88ms, mfu 92.27%
iter 3620: loss 3.6948, time 1310.80ms, mfu 92.23%
iter 3630: loss 3.6993, time 1303.33ms, mfu 92.25%
iter 3640: loss 3.7668, time 1309.27ms, mfu 92.23%
iter 3650: loss 3.6911, time 1301.78ms, mfu 92.26%
iter 3660: loss 3.7243, time 1305.14ms, mfu 92.26%
iter 3670: loss 3.7830, time 1305.15ms, mfu 92.26%
iter 3680: loss 3.7457, time 1300.54ms, mfu 92.30%
iter 3690: loss 3.6380, time 1314.44ms, mfu 92.23%
iter 3700: loss 3.7546, time 1303.69ms, mfu 92.25%
iter 3710: loss 3.6364, time 1306.64ms, mfu 92.24%
iter 3720: loss 3.7884, time 1309.29ms, mfu 92.22%
iter 3730: loss 3.7092, time 1300.30ms, mfu 92.26%
iter 3740: loss 3.7302, time 1302.73ms, mfu 92.28%
iter 3750: loss 3.6662, time 1309.81ms, mfu 92.25%
iter 3760: loss 3.7364, time 1309.90ms, mfu 92.22%
iter 3770: loss 3.7744, time 1304.67ms, mfu 92.23%
iter 3780: loss 3.6770, time 1303.93ms, mfu 92.25%
iter 3790: loss 3.6535, time 1309.85ms, mfu 92.22%
iter 3800: loss 3.7032, time 1303.63ms, mfu 92.24%
iter 3810: loss 3.7435, time 1306.05ms, mfu 92.23%
iter 3820: loss 3.6756, time 1304.07ms, mfu 92.25%
iter 3830: loss 3.7203, time 1302.64ms, mfu 92.27%
iter 3840: loss 3.7420, time 1313.07ms, mfu 92.22%
iter 3850: loss 3.6723, time 1301.09ms, mfu 92.25%
iter 3860: loss 3.6865, time 1307.50ms, mfu 92.24%
iter 3870: loss 3.6718, time 1301.76ms, mfu 92.27%
iter 3880: loss 3.7564, time 1305.99ms, mfu 92.27%
iter 3890: loss 3.7059, time 1308.34ms, mfu 92.25%
iter 3900: loss 3.6468, time 1309.70ms, mfu 92.22%
iter 3910: loss 3.7527, time 1307.36ms, mfu 92.21%
iter 3920: loss 3.7179, time 1300.87ms, mfu 92.25%
iter 3930: loss 3.7587, time 1310.30ms, mfu 92.22%
iter 3940: loss 3.7136, time 1301.05ms, mfu 92.25%
iter 3950: loss 3.7507, time 1300.15ms, mfu 92.29%
iter 3960: loss 3.7028, time 1304.50ms, mfu 92.30%
iter 3970: loss 3.6985, time 1310.42ms, mfu 92.26%
