step 0: train loss 10.9210, val loss 10.9203
iter 1530: loss 4.4192, time 748.05ms, mfu 74.75%
iter 1540: loss 4.3202, time 747.81ms, mfu 74.76%
iter 1550: loss 4.4025, time 746.40ms, mfu 74.79%
iter 1560: loss 4.3125, time 750.23ms, mfu 74.77%
iter 1570: loss 4.3514, time 749.94ms, mfu 74.76%
iter 1580: loss 4.3657, time 750.38ms, mfu 74.75%
iter 1590: loss 4.3140, time 748.47ms, mfu 74.75%
iter 1600: loss 4.2883, time 744.56ms, mfu 74.80%
iter 1610: loss 4.2561, time 746.25ms, mfu 74.82%
iter 1620: loss 4.3850, time 746.53ms, mfu 74.84%
iter 1630: loss 4.2902, time 748.34ms, mfu 74.84%
iter 1640: loss 4.2776, time 748.57ms, mfu 74.83%
iter 1650: loss 4.2308, time 746.33ms, mfu 74.85%
iter 1660: loss 4.3658, time 748.70ms, mfu 74.84%
iter 1670: loss 4.2792, time 747.17ms, mfu 74.85%
iter 1680: loss 4.2635, time 750.81ms, mfu 74.82%
iter 1690: loss 4.2390, time 748.83ms, mfu 74.82%
iter 1700: loss 4.3206, time 746.21ms, mfu 74.84%
iter 1710: loss 4.1949, time 749.27ms, mfu 74.83%
iter 1720: loss 4.2519, time 747.46ms, mfu 74.84%
iter 1730: loss 4.2505, time 748.57ms, mfu 74.83%
iter 1740: loss 4.2256, time 751.47ms, mfu 74.80%
iter 1750: loss 4.2473, time 751.17ms, mfu 74.77%
iter 1760: loss 4.1577, time 746.94ms, mfu 74.79%
iter 1770: loss 4.1930, time 749.68ms, mfu 74.78%
iter 1780: loss 4.1890, time 745.98ms, mfu 74.81%
iter 1790: loss 4.1735, time 747.94ms, mfu 74.81%
iter 1800: loss 4.1899, time 743.44ms, mfu 74.86%
iter 1810: loss 4.2130, time 744.82ms, mfu 74.89%
iter 1820: loss 4.2021, time 752.96ms, mfu 74.84%
iter 1830: loss 4.1571, time 749.61ms, mfu 74.82%
iter 1840: loss 4.1899, time 745.72ms, mfu 74.85%
iter 1850: loss 4.0952, time 751.25ms, mfu 74.82%
iter 1860: loss 4.2522, time 746.70ms, mfu 74.83%
iter 1870: loss 4.1397, time 748.97ms, mfu 74.83%
iter 1880: loss 4.1687, time 748.57ms, mfu 74.82%
iter 1890: loss 4.0265, time 747.41ms, mfu 74.83%
iter 1900: loss 4.1660, time 744.34ms, mfu 74.87%
iter 1910: loss 4.1197, time 750.04ms, mfu 74.85%
iter 1920: loss 4.1462, time 750.86ms, mfu 74.82%
iter 1930: loss 4.0429, time 751.37ms, mfu 74.79%
iter 1940: loss 4.1536, time 751.85ms, mfu 74.76%
iter 1950: loss 4.1147, time 749.68ms, mfu 74.75%
iter 1960: loss 4.0657, time 750.79ms, mfu 74.73%
iter 1970: loss 4.0529, time 752.99ms, mfu 74.69%
iter 1980: loss 4.0712, time 750.32ms, mfu 74.69%
iter 1990: loss 4.1245, time 750.05ms, mfu 74.68%
step 2000: train loss 4.0927, val loss 4.0969
saving checkpoint to out
iter 2000: loss 4.0860, time 21992.38ms, mfu 67.47%
iter 2010: loss 4.0519, time 749.29ms, mfu 68.19%
iter 2020: loss 4.0865, time 747.12ms, mfu 68.87%
iter 2030: loss 4.0586, time 751.10ms, mfu 69.44%
iter 2040: loss 4.0497, time 748.28ms, mfu 69.97%
iter 2050: loss 4.0324, time 748.88ms, mfu 70.45%
iter 2060: loss 4.0583, time 747.56ms, mfu 70.90%
iter 2070: loss 4.0922, time 748.29ms, mfu 71.29%
iter 2080: loss 4.0235, time 748.75ms, mfu 71.64%
iter 2090: loss 4.0459, time 747.41ms, mfu 71.97%
iter 2100: loss 4.0727, time 745.50ms, mfu 72.28%
iter 2110: loss 4.1016, time 749.30ms, mfu 72.52%
iter 2120: loss 4.0385, time 749.37ms, mfu 72.74%
iter 2130: loss 4.0149, time 745.57ms, mfu 72.98%
iter 2140: loss 4.0286, time 747.84ms, mfu 73.17%
iter 2150: loss 3.9722, time 750.08ms, mfu 73.31%
iter 2160: loss 4.0082, time 748.08ms, mfu 73.47%
iter 2170: loss 4.0429, time 748.04ms, mfu 73.61%
iter 2180: loss 4.0661, time 746.35ms, mfu 73.75%
iter 2190: loss 3.9934, time 749.84ms, mfu 73.84%
iter 2200: loss 3.9571, time 743.68ms, mfu 73.98%
iter 2210: loss 4.0165, time 749.58ms, mfu 74.05%
iter 2220: loss 3.9667, time 751.39ms, mfu 74.10%
iter 2230: loss 3.9776, time 752.36ms, mfu 74.13%
iter 2240: loss 3.9344, time 745.44ms, mfu 74.23%
iter 2250: loss 3.9918, time 747.85ms, mfu 74.29%
iter 2260: loss 4.0000, time 748.70ms, mfu 74.34%
iter 2270: loss 3.9364, time 750.07ms, mfu 74.37%
iter 2280: loss 3.8971, time 750.75ms, mfu 74.39%
iter 2290: loss 3.9877, time 751.10ms, mfu 74.41%
iter 2300: loss 3.9262, time 745.44ms, mfu 74.48%
