step 0: train loss 10.8173, val loss 10.8175
iter 1360: loss 5.2739, time 1021.11ms, mfu 99.41%
iter 1370: loss 5.2549, time 1018.06ms, mfu 99.47%
iter 1380: loss 5.2358, time 1025.03ms, mfu 99.45%
iter 1390: loss 5.1597, time 1020.40ms, mfu 99.48%
iter 1400: loss 5.2279, time 1020.42ms, mfu 99.51%
iter 1410: loss 5.1089, time 1023.25ms, mfu 99.50%
iter 1420: loss 5.2012, time 1019.32ms, mfu 99.54%
iter 1430: loss 5.2111, time 1023.40ms, mfu 99.53%
iter 1440: loss 5.0985, time 1022.49ms, mfu 99.53%
iter 1450: loss 4.9854, time 1018.70ms, mfu 99.57%
iter 1460: loss 5.0679, time 1020.94ms, mfu 99.58%
iter 1470: loss 5.1323, time 1025.63ms, mfu 99.54%
iter 1480: loss 5.1174, time 1020.49ms, mfu 99.56%
iter 1490: loss 5.1679, time 1018.20ms, mfu 99.60%
iter 1500: loss 5.0832, time 1022.63ms, mfu 99.59%
iter 1510: loss 5.0733, time 1020.66ms, mfu 99.61%
iter 1520: loss 5.1016, time 1021.16ms, mfu 99.61%
iter 1530: loss 5.0845, time 1020.97ms, mfu 99.62%
iter 1540: loss 5.1408, time 1019.39ms, mfu 99.64%
iter 1550: loss 5.0968, time 1019.84ms, mfu 99.66%
iter 1560: loss 5.0922, time 1022.94ms, mfu 99.64%
iter 1570: loss 5.1088, time 1022.57ms, mfu 99.63%
iter 1580: loss 5.0978, time 1020.34ms, mfu 99.64%
iter 1590: loss 5.0471, time 1020.02ms, mfu 99.65%
iter 1600: loss 4.9685, time 1022.10ms, mfu 99.65%
iter 1610: loss 4.9542, time 1020.31ms, mfu 99.66%
iter 1620: loss 5.0554, time 1020.55ms, mfu 99.66%
iter 1630: loss 4.9798, time 1024.21ms, mfu 99.63%
iter 1640: loss 4.9805, time 1023.28ms, mfu 99.62%
iter 1650: loss 4.8899, time 1020.16ms, mfu 99.63%
iter 1660: loss 4.9392, time 1022.94ms, mfu 99.62%
iter 1670: loss 4.9066, time 1022.97ms, mfu 99.61%
iter 1680: loss 4.9574, time 1022.97ms, mfu 99.59%
iter 1690: loss 4.8579, time 1023.73ms, mfu 99.58%
iter 1700: loss 4.9155, time 1020.82ms, mfu 99.59%
iter 1710: loss 4.9516, time 1022.09ms, mfu 99.59%
iter 1720: loss 4.8761, time 1022.07ms, mfu 99.59%
iter 1730: loss 4.9333, time 1021.92ms, mfu 99.59%
iter 1740: loss 4.8568, time 1025.21ms, mfu 99.56%
iter 1750: loss 4.9683, time 1022.07ms, mfu 99.56%
iter 1760: loss 4.8655, time 1019.81ms, mfu 99.58%
iter 1770: loss 4.9317, time 1025.56ms, mfu 99.55%
iter 1780: loss 4.7852, time 1021.63ms, mfu 99.55%
iter 1790: loss 4.8662, time 1023.04ms, mfu 99.55%
iter 1800: loss 4.8695, time 1022.24ms, mfu 99.55%
iter 1810: loss 4.8305, time 1020.48ms, mfu 99.57%
iter 1820: loss 4.8139, time 1020.69ms, mfu 99.58%
iter 1830: loss 4.8684, time 1022.46ms, mfu 99.58%
iter 1840: loss 4.8555, time 1019.18ms, mfu 99.61%
iter 1850: loss 4.8122, time 1019.53ms, mfu 99.63%
iter 1860: loss 4.8017, time 1022.37ms, mfu 99.62%
iter 1870: loss 4.8996, time 1022.92ms, mfu 99.61%
iter 1880: loss 4.8595, time 1020.06ms, mfu 99.62%
iter 1890: loss 4.7067, time 1019.62ms, mfu 99.64%
iter 1900: loss 4.7473, time 1023.31ms, mfu 99.62%
iter 1910: loss 4.8327, time 1022.22ms, mfu 99.62%
iter 1920: loss 4.7870, time 1025.38ms, mfu 99.58%
iter 1930: loss 4.8316, time 1023.08ms, mfu 99.57%
iter 1940: loss 4.8669, time 1021.68ms, mfu 99.58%
iter 1950: loss 4.7293, time 1023.05ms, mfu 99.57%
iter 1960: loss 4.7809, time 1018.60ms, mfu 99.60%
iter 1970: loss 4.7837, time 1023.85ms, mfu 99.58%
iter 1980: loss 4.7879, time 1023.07ms, mfu 99.57%
iter 1990: loss 4.7328, time 1021.41ms, mfu 99.58%
step 2000: train loss 4.7396, val loss 4.7440
saving checkpoint to out
iter 2000: loss 4.6980, time 30070.81ms, mfu 89.96%
iter 2010: loss 4.6963, time 1020.65ms, mfu 90.94%
iter 2020: loss 4.6760, time 1022.32ms, mfu 91.80%
iter 2030: loss 4.7169, time 1025.18ms, mfu 92.55%
iter 2040: loss 4.6772, time 1020.69ms, mfu 93.26%
iter 2050: loss 4.6737, time 1028.96ms, mfu 93.83%
iter 2060: loss 4.7199, time 1020.44ms, mfu 94.42%
iter 2070: loss 4.6733, time 1022.24ms, mfu 94.93%
iter 2080: loss 4.6925, time 1021.74ms, mfu 95.40%
iter 2090: loss 4.6429, time 1029.32ms, mfu 95.75%
iter 2100: loss 4.6386, time 1021.74ms, mfu 96.13%
iter 2110: loss 4.6485, time 1023.00ms, mfu 96.47%
iter 2120: loss 4.6790, time 1023.72ms, mfu 96.76%
iter 2130: loss 4.6817, time 1022.29ms, mfu 97.04%
iter 2140: loss 4.6403, time 1022.11ms, mfu 97.30%
iter 2150: loss 4.6633, time 1019.27ms, mfu 97.55%
iter 2160: loss 4.5671, time 1020.41ms, mfu 97.77%
iter 2170: loss 4.5897, time 1019.51ms, mfu 97.98%
iter 2180: loss 4.5979, time 1021.92ms, mfu 98.14%
iter 2190: loss 4.5968, time 1020.67ms, mfu 98.30%
iter 2200: loss 4.6377, time 1020.41ms, mfu 98.44%
iter 2210: loss 4.5616, time 1019.58ms, mfu 98.58%
iter 2220: loss 4.5578, time 1019.57ms, mfu 98.70%
iter 2230: loss 4.5880, time 1019.84ms, mfu 98.81%
iter 2240: loss 4.5045, time 1020.48ms, mfu 98.90%
iter 2250: loss 4.5497, time 1019.28ms, mfu 99.00%
iter 2260: loss 4.4689, time 1024.62ms, mfu 99.03%
iter 2270: loss 4.5787, time 1023.19ms, mfu 99.08%
iter 2280: loss 4.4827, time 1027.47ms, mfu 99.07%
iter 2290: loss 4.4640, time 1022.12ms, mfu 99.12%
iter 2300: loss 4.5354, time 1024.14ms, mfu 99.15%
iter 2310: loss 4.4168, time 1024.26ms, mfu 99.17%
