step 0: train loss 10.9894, val loss 10.9903
iter 1460: loss 4.0776, time 1082.73ms, mfu 124.44%
iter 1470: loss 4.0431, time 1087.83ms, mfu 124.38%
iter 1480: loss 3.9983, time 1082.78ms, mfu 124.38%
iter 1490: loss 4.0129, time 1081.57ms, mfu 124.39%
iter 1500: loss 4.0416, time 1082.36ms, mfu 124.39%
iter 1510: loss 4.0742, time 1084.89ms, mfu 124.36%
iter 1520: loss 3.9819, time 1080.62ms, mfu 124.39%
iter 1530: loss 4.0419, time 1078.53ms, mfu 124.44%
iter 1540: loss 4.1744, time 1080.57ms, mfu 124.45%
iter 1550: loss 4.0695, time 1084.35ms, mfu 124.43%
iter 1560: loss 3.9921, time 1087.63ms, mfu 124.37%
iter 1570: loss 3.9523, time 1082.41ms, mfu 124.37%
iter 1580: loss 3.9120, time 1080.87ms, mfu 124.39%
iter 1590: loss 3.9915, time 1083.45ms, mfu 124.38%
iter 1600: loss 3.9810, time 1080.48ms, mfu 124.41%
iter 1610: loss 3.9675, time 1081.36ms, mfu 124.42%
iter 1620: loss 3.9410, time 1081.32ms, mfu 124.43%
iter 1630: loss 3.9650, time 1082.50ms, mfu 124.43%
iter 1640: loss 3.9984, time 1084.57ms, mfu 124.40%
iter 1650: loss 3.9185, time 1079.89ms, mfu 124.43%
iter 1660: loss 3.8994, time 1082.62ms, mfu 124.42%
iter 1670: loss 3.9891, time 1081.62ms, mfu 124.43%
iter 1680: loss 3.8975, time 1082.07ms, mfu 124.43%
iter 1690: loss 3.8459, time 1082.55ms, mfu 124.43%
iter 1700: loss 3.9909, time 1079.69ms, mfu 124.46%
iter 1710: loss 3.9259, time 1083.75ms, mfu 124.44%
iter 1720: loss 3.9244, time 1082.53ms, mfu 124.43%
iter 1730: loss 3.9220, time 1082.57ms, mfu 124.43%
iter 1740: loss 3.9445, time 1082.57ms, mfu 124.42%
iter 1750: loss 3.9621, time 1083.70ms, mfu 124.41%
iter 1760: loss 3.8719, time 1081.25ms, mfu 124.42%
iter 1770: loss 3.8954, time 1082.68ms, mfu 124.42%
iter 1780: loss 3.9011, time 1078.44ms, mfu 124.46%
iter 1790: loss 3.8699, time 1085.62ms, mfu 124.42%
iter 1800: loss 3.8722, time 1077.70ms, mfu 124.47%
iter 1810: loss 3.8148, time 1085.09ms, mfu 124.44%
iter 1820: loss 3.8815, time 1083.58ms, mfu 124.42%
iter 1830: loss 3.8677, time 1081.91ms, mfu 124.42%
iter 1840: loss 3.9385, time 1079.27ms, mfu 124.46%
iter 1850: loss 3.8604, time 1084.79ms, mfu 124.43%
iter 1860: loss 3.7915, time 1082.32ms, mfu 124.42%
iter 1870: loss 3.7762, time 1080.40ms, mfu 124.45%
iter 1880: loss 3.8700, time 1082.78ms, mfu 124.44%
iter 1890: loss 3.7988, time 1081.67ms, mfu 124.44%
iter 1900: loss 3.8441, time 1079.16ms, mfu 124.48%
iter 1910: loss 3.7847, time 1084.44ms, mfu 124.45%
iter 1920: loss 3.8309, time 1084.93ms, mfu 124.41%
iter 1930: loss 3.8182, time 1079.27ms, mfu 124.45%
iter 1940: loss 3.8182, time 1086.95ms, mfu 124.39%
iter 1950: loss 3.8326, time 1085.81ms, mfu 124.36%
iter 1960: loss 3.7614, time 1081.41ms, mfu 124.37%
iter 1970: loss 3.7925, time 1083.59ms, mfu 124.36%
iter 1980: loss 3.8380, time 1084.49ms, mfu 124.34%
iter 1990: loss 3.7872, time 1084.01ms, mfu 124.33%
step 2000: train loss 3.7900, val loss 3.7949
saving checkpoint to out
iter 2000: loss 3.8143, time 32285.99ms, mfu 112.31%
iter 2010: loss 3.8652, time 1084.13ms, mfu 113.50%
iter 2020: loss 3.8155, time 1081.67ms, mfu 114.60%
iter 2030: loss 3.7567, time 1081.46ms, mfu 115.59%
iter 2040: loss 3.7786, time 1085.63ms, mfu 116.44%
iter 2050: loss 3.7472, time 1085.10ms, mfu 117.20%
iter 2060: loss 3.7209, time 1084.33ms, mfu 117.90%
iter 2070: loss 3.7844, time 1085.72ms, mfu 118.52%
iter 2080: loss 3.7250, time 1084.44ms, mfu 119.08%
iter 2090: loss 3.7549, time 1082.14ms, mfu 119.62%
iter 2100: loss 3.8092, time 1084.27ms, mfu 120.07%
iter 2110: loss 3.7591, time 1088.03ms, mfu 120.44%
iter 2120: loss 3.7414, time 1082.63ms, mfu 120.84%
iter 2130: loss 3.7910, time 1084.33ms, mfu 121.17%
